sale_id,item_id,customer_key,product_key,date_key,channel_key,quantity,unit_price,original_price,discount_applied,item_total,total_amount
658,2270,835,403,20250616,2,1,81.8,81.8,0.0,81.8,374.25
336,1170,790,284,20250617,1,1,81.79,81.79,0.0,81.79,536.47
1255,2496,464,71,20250416,2,1,80.76,80.76,0.0,80.76,104.81
1079,1829,837,98,20250615,2,1,78.52,78.52,0.0,78.52,173.84
478,3221,957,98,20250414,2,1,78.52,78.52,0.0,78.52,162.44
747,730,442,413,20250421,2,1,76.15,76.15,0.0,76.15,250.93
258,2917,94,392,20250529,1,1,75.47,75.47,0.0,75.47,439.49
1144,3142,700,392,20250520,1,1,75.47,75.47,0.0,75.47,141.99
644,209,374,224,20250404,1,1,75.4,75.4,0.0,75.4,231.66
991,1138,734,224,20250420,2,1,75.4,75.4,0.0,75.4,200.08
338,1968,670,459,20250421,1,1,75.17,75.17,0.0,75.17,410.86
617,2063,62,459,20250518,1,1,75.17,75.17,0.0,75.17,566.22
660,2211,86,116,20250614,2,1,74.81,74.81,0.0,74.81,368.79
863,3058,39,359,20250417,1,1,74.28,74.28,0.0,74.28,384.64
420,1707,828,320,20250616,2,1,74.26,74.26,0.0,74.26,503.76
191,1831,367,320,20250523,2,1,74.26,74.26,0.0,74.26,381.4
1013,2454,296,420,20250430,2,1,72.58,72.58,0.0,72.58,178.68
473,202,820,398,20250430,1,1,71.15,71.15,0.0,71.15,270.72
179,3189,663,379,20250529,2,1,70.82,70.82,0.0,70.82,525.72
482,3113,272,463,20250524,2,1,70.56,70.56,0.0,70.56,306.9
581,41,125,31,20250531,1,1,69.82,69.82,0.0,69.82,516.66
31,1406,776,31,20250520,2,1,69.82,69.82,0.0,69.82,292.78
424,2490,956,31,20250522,2,1,69.82,69.82,0.0,69.82,397.38
33,929,805,353,20250423,1,1,69.54,69.54,0.0,69.54,227.32
832,22,570,360,20250423,1,1,69.48,69.48,0.0,69.48,266.58
670,1785,820,360,20250527,2,1,69.48,69.48,0.0,69.48,173.7
209,684,436,474,20250531,2,1,68.47,68.47,0.0,68.47,343.05
1014,1253,578,474,20250516,1,1,68.47,68.47,0.0,68.47,175.37
306,3167,566,486,20250426,1,1,68.03,68.03,0.0,68.03,257.31
42,3055,191,470,20250531,2,1,67.73,67.73,0.0,67.73,186.91
1213,1724,155,67,20250516,1,1,67.37,67.37,0.0,67.37,365.27
1178,1762,274,239,20250415,2,1,66.99,66.99,0.0,66.99,286.19
1128,1356,759,307,20250531,2,1,66.87,66.87,0.0,66.87,96.84
180,1050,641,197,20250613,2,1,66.68,66.68,0.0,66.68,190.08
1272,2153,254,197,20250415,2,1,66.68,66.68,0.0,66.68,188.26
370,2909,225,131,20250421,2,1,66.63,66.63,0.0,66.63,186.88
450,719,640,478,20250430,2,1,66.52,66.52,0.0,66.52,540.03
1144,2134,700,478,20250520,1,1,66.52,66.52,0.0,66.52,141.99
183,1640,871,70,20250516,1,1,66.33,66.33,0.0,66.33,161.43
1136,185,460,435,20250614,2,1,64.5,64.5,0.0,64.5,111.97
54,1624,517,435,20250528,2,1,64.5,64.5,0.0,64.5,416.34
1344,2601,857,276,20250421,2,1,64.44,64.44,0.0,64.44,179.43
